"EventlogID";"UserName";"ProcessID";"MachineName";"MethodName";"TypeName";"FileName";"LineNo";"EventSource";"EventTime";"EventType";"ErrorNo";"EventMsg"
"569867";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:29:03.000";"[Info]";"100";"Die Erstellung von Decodierspeichern f?r die l EMIR Trade Exception Detail Id-Hierarchie wurde beendet."
"569868";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:29:03.000";"[Info]";"100";"Die Erstellung von Decodierspeichern f?r die Trade Number-Hierarchie wurde beendet."
"569869";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:29:03.000";"[Info]";"100";"Die Erstellung von Decodierspeichern f?r die Trade Exception-Hierarchie wurde beendet."
"569870";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:29:03.000";"[Info]";"100";"Die Erstellung von Decodierspeichern f?r die Run Date-Hierarchie wurde beendet."
"569871";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:29:03.000";"[Info]";"0";"Das Erstellen von Indizes f?r das l EMIR Trade Exception Detail Id-Attribut wurde gestartet."
"569856";"DOM1\S31023";"0";"SM06245";;;;"0";"LogicWatcher";"2014-01-27 14:29:00.000";"[Info]";"0";"Beginning of package execution.  "
"569857";"DOM1\S31023";"0";"SM06245";;;;"0";"Poll for Conditional Logic";"2014-01-27 14:29:00.000";"[Error]";"8";"The script returned a failure result."
"569858";"DOM1\S31023";"0";"SM06245";;;;"0";"LogicWatcher";"2014-01-27 14:29:00.000";"[Error]";"8";"The script returned a failure result."
"569859";"DOM1\S31023";"0";"SM06245";;;;"0";"LogicWatcher";"2014-01-27 14:29:00.000";"[Info]";"1";"End of package execution.  "
"569860";"DOM1\S31023";"0";"SM06245";;;;"0";"Upload XML to TR";"2014-01-27 14:29:00.000";"[Info]";"0";"Beginning of package execution.  "
"569861";"DOM1\S31023";"0";"SM06245";;;;"0";"Upload XML to TR";"2014-01-27 14:29:00.000";"[Info]";"0";"End of package execution.  "
"569852";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:28:59.000";"[Info]";"100";"Das Lesen von Daten aus dem l EMIR Trade Exception Detail Id-Attribut wurde beendet."
"569853";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:28:59.000";"[Info]";"100";"Das Schreiben von Daten f?r das l EMIR Trade Exception Detail Id-Attribut wurde beendet."
"569854";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:28:59.000";"[Info]";"100";"Die Verarbeitung des l EMIR Trade Exception Detail Id-Attributs wurde beendet."
"569855";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:28:59.000";"[Info]";"0";"Die Verarbeitung der l EMIR Trade Exception Detail Id-Hierarchie wurde gestartet."
"569851";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:28:53.000";"[Info]";"100";"Die Verarbeitung der Trade Number-Hierarchie wurde beendet."
"569797";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:28:51.000";"[Info]";"100";"      SELECT    DISTINCT  [dbo_RegTradeExceptionDetail].[RunDate] AS [dbo_RegTradeExceptionDetailRunDate0_0]   FROM [dbo].[RegTradeExceptionDetail] AS [dbo_RegTradeExceptionDetail] "
"569798";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:28:51.000";"[Info]";"100";"Das Schreiben von Daten f?r das Run Date-Attribut wurde beendet."
"569799";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:28:51.000";"[Info]";"0";"Das Lesen von Daten aus dem Run Date-Attribut wurde gestartet."
"569800";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:28:51.000";"[Info]";"100";"Das Lesen von Daten aus dem Run Date-Attribut wurde beendet."
"569801";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:28:51.000";"[Info]";"100";"Die Verarbeitung des Run Date-Attributs wurde beendet."
